Codici Postali,Regione Amministrativa,Numero Di Codici Postali
10001 - 19098,Harjumaa,876
74001 - 76992,Harjumaa,876
20001 - 43408,Ida-Virumaa,390
44001 - 46715,Lääne-Virumaa,457
48001 - 49604,Jõgevamaa,273
50050 - 62511,Tartumaa,453
63001 - 64618,Põlvamaa,287
65001 - 66712,Võrumaa,472
67001 - 68716,Valgamaa,199
69001 - 71513,Viljandimaa,321
72001 - 73516,Järvamaa,230
78001 - 79891,Raplamaa,347
80001 - 88442,Pärnumaa,403
90101 - 91391,Läänemaa,278
92001 - 92424,Hiiumaa (contea),205
93001 - 94791,Saaremaa (contea),405
