URL,ID,Name,Company code,Marketcap,Share price,Earnings,Revenue,Shares,Employees
https://companiesmarketcap.com/walmart/marketcap/,1,Walmart,WMT,$415.26 B,$153.00,$14.84 B,$600.11 B,2.736.000.000,2.300.000
https://companiesmarketcap.com/amazon/marketcap/,2,Amazon,AMZN,$952.51 B,$93.37,$12.11 B,$502.19 B,10.175.000.000,1.544.000
https://companiesmarketcap.com/ups/marketcap/,3,United Parcel Service,UPS,$158.47 B,$183.23,$14.32 B,$101.07 B,870.000.000,500.000
https://companiesmarketcap.com/kroger/marketcap/,4,Kroger,KR,$35.23 B,$49.23,$3.03 B,$144.14 B,716.000.000,500.000
https://companiesmarketcap.com/home-depot/marketcap/,5,Home Depot,HD,$324.42 B,$318.32,$24.14 B,$157.29 B,1.023.000.000,500.000
https://companiesmarketcap.com/target/marketcap/,6,Target,TGT,$75.12 B,$163.20,$4.39 B,$107.22 B,461.500.000,450.000
https://companiesmarketcap.com/starbucks/marketcap/,7,Starbucks,SBUX,$113.46 B,$98.85,$4.71 B,$30.23 B,1.147.000.000,383.000
https://companiesmarketcap.com/berkshire-hathaway/marketcap/,8,Berkshire Hathaway ,BRK-B,$691.79 B,$314.09,$0.36 B,$253.88 B,2.205.864.397,372.000
https://companiesmarketcap.com/united-health/marketcap/,9,UnitedHealth,UNH,$492.38 B,$526.99,$25.23 B,$313.13 B,935.382.710,350.000
https://companiesmarketcap.com/fedex/marketcap/,10,FedEx,FDX,$45.73 B,$175.77,$5.34 B,$94.75 B,262.000.000,345.000
https://companiesmarketcap.com/cognizant-technology-solutions/marketcap/,11,Cognizant Technology Solutions ,CTSH,$31.01 B,$60.36,$3.03 B,$19.36 B,520.000.000,341.300
https://companiesmarketcap.com/tjx-companies/marketcap/,12,TJX Companies,TJX,$92.64 B,$79.79,$4.60 B,$49.27 B,1.161.886.769,340.000
https://companiesmarketcap.com/pepsico/marketcap/,13,Pepsico,PEP,$251.66 B,$182.67,$13.58 B,$83.64 B,1.380.000.000,309.000
https://companiesmarketcap.com/costco/marketcap/,14,Costco,COST,$234.85 B,$530.63,$8.12 B,$229.18 B,443.700.000,304.000
