CAP,Regione Amministrativa,Numero Di Codici Postali
00010 - 04100,Lazio,220
05010 - 06135,Umbria,80
07014 - 09170,Sardegna,98
10010 - 18025,Piemonte,389
28016 - 28925,Piemonte,389
11013 - 11029,Valle d'Aosta,10
16013 - 19139,Liguria,160
20010 - 28819,Lombardia,615
30010 - 32100, 35010 - 37142,Veneto,284
33010 - 34170,Friuli-Venezia Giulia,104
38019 - 39100,Trentino-Alto Adige,103
40010 - 48125,Emilia,292
50010 - 59100,Toscana,265
60010 - 63900,Marche,170
64010 - 67100,Abruzzo,145
70010 - 76125,Puglia,124
80010 - 84135,Campania,247
86014 - 86170,Molise,51
87010 - 89900,Calabria,200
90010 - 98168,Sicilia,229
