ID,URL,Name,Code,Legal form,Status,Registration Date,Capital,Address,Deletion Date,Tempo richiesta,Tempo estrazione Name,Tempo estrazione Code,Tempo estrazione Legal Form,Tempo estrazione Status,Tempo estrazione Reg. Date,Tempo estrazione Capital,Tempo estrazione Address,Tempo estrazione Del. Date,Tempo estrazione dati Rapp.,Tempo estrazione Partners,Tempo estrazione Activity
1,https://ariregister.rik.ee/eng/company/14318875/10Dspace-OÜ?search_id=6b4eef4&pos=1,10DspaceOÜ(14318875),14318875,Private limited company,Deleted,25.08.2017,,,29.05.2020,726245951,361992,1289434,1315425,,1723619,,,463544,425,213,208
2,https://ariregister.rik.ee/eng/company/16270291/21-Sparrows-OÜ?search_id=6b4eef4&pos=2,21SparrowsOÜ(16270291),16270291,Private limited company,Enteredintotheregister,14.07.2021,Capitalis10 000 €,                        Harju maakond Tallinn Kesklinna linnaosa Toom-Kuninga tn 15-77 10122                            ,,682176861,433688,1296960,1094894,280295,1835898,400950,1178822,534764,539,183,235
3,https://ariregister.rik.ee/eng/company/12454634/3DST-OÜ?search_id=6b4eef4&pos=3,3DSTOÜ(12454634),12454634,Private limited company,Enteredintotheregister,15.04.2013,Capitalis2 500 €,                        Harju maakond Tallinn Kesklinna linnaosa Pikk tn 67-3 10133                            ,,879566368,858796,1584245,1718230,514263,577969,635551,638478,691905,513,164,248
4,https://ariregister.rik.ee/eng/company/14867109/8-Bits-Space-OÜ?search_id=6b4eef4&pos=4,8BitsSpaceOÜ(14867109),14867109,Private limited company,Enteredintotheregister,11.12.2019,Capitalis2 500 €,                        Harju maakond Tallinn Lasnamäe linnaosa Sepapaja tn 6 15551                            ,,730169554,489087,1636732,1560276,402298,612982,407055,1103645,1115142,475,177,285
5,https://ariregister.rik.ee/eng/company/16451101/A1-Ehituspartner-OÜ?search_id=6b4eef4&pos=5,A1EhituspartnerOÜ(16451101),16451101,Private limited company,Enteredintotheregister,28.02.2022,Capitalis2 500 €,                        Põlva maakond Põlva vald Adiste küla Naima 63204                            ,,1888662005,581507,495932,1610485,552376,566378,1104978,1318529,1349082,511,125,164
6,https://ariregister.rik.ee/eng/company/10166769/osaühing-Aarspak?search_id=6b4eef4&pos=6,osaühingAarspak(10166769),10166769,Private limited company,Enteredintotheregister,28.11.1996,Capitalis2 550 €,                        Harju maakond Viimsi vald Lubja küla Ampri tee 7 74010                            ,,683060826,536198,482020,1111242,386464,407227,371106,1357371,1050782,593,124,122
7,https://ariregister.rik.ee/eng/company/11959421/Aarspak-Tootmine-OÜ?search_id=6b4eef4&pos=7,AarspakTootmineOÜ(11959421),11959421,Private limited company,Enteredintotheregister,22.06.2010,Capitalis2 556 €,                        Harju maakond Viimsi vald Lubja küla Ampri tee 7 74010                            ,,735677809,475941,1274252,1075614,364770,1300220,373082,1108252,1025565,332,181,266
8,https://ariregister.rik.ee/eng/company/11945353/AA-Spamarket-OÜ?search_id=6b4eef4&pos=8,A&ASpamarketOÜ(11945353),11945353,Private limited company,Deleted,25.05.2010,,,07.09.2022,720414247,518710,1361774,875489,,2196577,,,417860,302,203,228
9,https://ariregister.rik.ee/eng/company/16008334/OÜ-ABC-Online-Solution?search_id=6b4eef4&pos=9,OÜABCOnlineSolution(16008334),16008334,Private limited company,Enteredintotheregister,13.07.2020,Capitalis2 500 €,                        Harju maakond Tallinn Kesklinna linnaosa Raua tn 51-2 10120                            ,,631753387,510841,464246,533626,339387,1096655,1090302,1661955,1065830,377,201,199
10,https://ariregister.rik.ee/eng/company/11739760/OÜ-ABC-Rakennuspalvelut?search_id=6b4eef4&pos=10,OÜABCRakennuspalvelut(11739760),11739760,Private limited company,Deleted,20.10.2009,,,26.03.2014,1853912166,528642,2309921,1269864,,484410,,,647458,516,146,127
