,USA,UK,Italy,Estony
0,https://www.info-clipper.com/en/company/united-states/masimo-corporation.usdcwn4q6.html,https://www.info-clipper.com/en/company/united-kingdom/watchtower-security-solutions-united-kingdom-limited.gbd3s3hti.html,https://www.info-clipper.com/en/company/italy/stellantis-nv.itd776ab4.html,https://www.info-clipper.com/en/company/estonia/recticel-ou.eed8uixf6.html
1,https://www.info-clipper.com/en/company/united-states/tank-holding-corp.usdg05ybb.html,https://www.info-clipper.com/en/company/united-kingdom/sbm-life-science-ltd.gbd3o2xts.html,https://www.info-clipper.com/en/company/italy/newton-compton-editori-srl.itde6ajz2.html,https://www.info-clipper.com/en/company/estonia/seb-pank-as.eedao2lxh.html
2,https://www.info-clipper.com/en/company/united-states/bellagio-llc.usddl0lu.html,https://www.info-clipper.com/en/company/united-kingdom/informa-tech-research-limited.gbd3pzc20.html,https://www.info-clipper.com/en/company/italy/la-fortezza-spa.itd79xv9h.html,https://www.info-clipper.com/en/company/estonia/tbb-pank-as.eed94zzu3.html
3,https://www.info-clipper.com/en/company/united-states/metro-goldwyn-mayer-studios-inc.usd45urs.html,https://www.info-clipper.com/en/company/united-kingdom/gfi-brokers-limited.gbd8ltops.html,https://www.info-clipper.com/en/company/italy/allianz-spa.itd6ere8r.html,https://www.info-clipper.com/en/company/estonia/simpes-grupp-ou.eed98p600.html
4,https://www.info-clipper.com/en/company/united-states/metro-goldwyn-mayer-pictures-inc.usd2f32cl.html,https://www.info-clipper.com/en/company/united-kingdom/holmes-products-limited.gbd3wq9el.html,https://www.info-clipper.com/en/company/italy/maisons-du-monde-italie-srl.itd7408r7.html,https://www.info-clipper.com/en/company/estonia/swedbank-support-ou.eedao0q2z.html
5,https://www.info-clipper.com/en/company/united-states/mgm-holdings-ii-inc.usd3a3dtg.html,https://www.info-clipper.com/en/company/united-kingdom/parlophone-records-limited.gbd3kp6de.html,https://www.info-clipper.com/en/company/italy/hermes-italie-spa.itd77bc5u.html,https://www.info-clipper.com/en/company/estonia/astel-garden-group-ou.eedbcyj27.html
6,https://www.info-clipper.com/en/company/united-states/mgm-holdings-inc.usd37hfmo.html,https://www.info-clipper.com/en/company/united-kingdom/precisely-europe-software-and-data-limited.gbd3qggvf.html,https://www.info-clipper.com/en/company/italy/groupama-asset-management-societa-di-gestione-del-risparmio-spa.itd78cfp6.html,https://www.info-clipper.com/en/company/estonia/abc-garden-ou.eed8vdhlz.html
7,https://www.info-clipper.com/en/company/united-states/amphenol-pcd-inc.usdddbqjk.html,https://www.info-clipper.com/en/company/united-kingdom/ice-data-services-europe-limited.gbd4tydww.html,https://www.info-clipper.com/en/company/italy/groupama-asset-management-sa-succursale-italiana.itd7bigs9.html,https://www.info-clipper.com/en/company/estonia/brandgate-group-ou.eed9crrp0.html
8,https://www.info-clipper.com/en/company/united-states/speedcast-communications-inc.usdffpvt.html,https://www.info-clipper.com/en/company/united-kingdom/ohme-operations-uk-limited.gbd3py8l4.html,https://www.info-clipper.com/en/company/italy/weg-automation-europe-srl.itd79r8y1.html,https://www.info-clipper.com/en/company/estonia/aurum-ou.eedao69xw.html
9,https://www.info-clipper.com/en/company/united-states/msb-aerospace-llc.usd1m7f7i.html,https://www.info-clipper.com/en/company/united-kingdom/garnet-uk-7-new-limited.gbd3qnj0a.html,https://www.info-clipper.com/en/company/italy/limonta-spa.itd72vicb.html,https://www.info-clipper.com/en/company/estonia/bolt-technology-ou.eed8d5oj6.html
10,https://www.info-clipper.com/en/company/united-states/apple-inc.usd10543w.html,https://www.info-clipper.com/en/company/united-kingdom/subsea-7-limited.gbd70flwz.html,https://www.info-clipper.com/en/company/italy/comitalia-compagnia-fiduciaria-srl-in-forma-abbreviato-comitalia-srl.itd74o1p3.html,https://www.info-clipper.com/en/company/estonia/game-machine-ou.eed604i0t.html
11,https://www.info-clipper.com/en/company/united-states/aria-resort-casino-llc.usdbph8k.html,https://www.info-clipper.com/en/company/united-kingdom/cgnu-life-assurance-limited.gbd3h3iz6.html,https://www.info-clipper.com/en/company/italy/hearst-magazines-italia-spa.itd79q0ji.html,https://www.info-clipper.com/en/company/estonia/milworks-ou.eed604b6u.html
12,https://www.info-clipper.com/en/company/united-states/take-two-interactive-software-inc.usddpyy07.html,https://www.info-clipper.com/en/company/united-kingdom/aviva-international-holdings-limited.gbd6klfvb.html,https://www.info-clipper.com/en/company/italy/lafeltrinelli-internet-bookshop-srl.itd5lhlbs.html,https://www.info-clipper.com/en/company/estonia/bolt-operations-ou.eed8vcqq5.html
13,https://www.info-clipper.com/en/company/united-states/ril-usa-inc.usddqp4nj.html,https://www.info-clipper.com/en/company/united-kingdom/leonis-productions-limited.gbd3qhdaq.html,https://www.info-clipper.com/en/company/italy/caseifici-granterre-spa.itd77i39a.html,https://www.info-clipper.com/en/company/estonia/b-bus-ou.eed8vcsxg.html
14,https://www.info-clipper.com/en/company/united-states/novelis-inc.usdfxhz03.html,https://www.info-clipper.com/en/company/united-kingdom/rubies-masquerade-company-limited.gbd3vyxt5.html,https://www.info-clipper.com/en/company/italy/cohotel-srl.itd7byuk1.html,https://www.info-clipper.com/en/company/estonia/luminor-bank-as.eed9crwlr.html
15,https://www.info-clipper.com/en/company/united-states/banana-republic-llc.usd1khnvu.html,https://www.info-clipper.com/en/company/united-kingdom/heathrow-airport-limited.gbd4wm7c3.html,https://www.info-clipper.com/en/company/italy/filmmaster-productions-spa.itd73bo3d.html,https://www.info-clipper.com/en/company/estonia/tallink-as.eed626xgr.html
16,https://www.info-clipper.com/en/company/united-states/bartec-us-corporation.usdejtnwp.html,https://www.info-clipper.com/en/company/united-kingdom/heathrow-airport-holdings-limited.gbd5s5hj7.html,https://www.info-clipper.com/en/company/italy/artsana-spa.itd72uzaw.html,https://www.info-clipper.com/en/company/estonia/tallink-grupp-as.eedao5lpi.html
