ID azienda,Area of Activity,EMTAK Code,NACE Code,Source
2,Other activities auxiliary to financial services that are not classified elsewhere,66199 (EMTAK 2008),66.19,Electronic submission
3,Specialised design activities,74101 (EMTAK 2008),74.1,Annual report
4,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
5,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Electronic submission
6,"Renting and operational leasing of other machinery, equipment and tangible assets not classified elsewhere",77399 (EMTAK 2008),77.39,Annual report
7,Manufacture of plastic packing goods \xc2\xa0,22221 (EMTAK 2008),22.22,Annual report
8,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Statistics Estonia
9,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission
11,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission
12,Holiday home (chalets),55202 (EMTAK 2008),55.2,Annual report
14,Specialised design activities,74101 (EMTAK 2008),74.1,Annual report
17,Activities attorneys and law offices,69101 (EMTAK 2008),69.1,Annual report
18,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
19,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47111 (EMTAK 2008),47.11,Annual report
20,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report
21,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,Electronic submission
22,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report
23,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,Annual report
24,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47111 (EMTAK 2008),47.11,Annual report
25,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,Electronic submission
27,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
33,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report
34,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report
36,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report
37,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Field of activity code data encoding by RIK
38,"Management of buildings and rental houses (apartment associations, housing associations, building associations etc)",68321 (EMTAK 2008),68.32,Annual report
40,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,Annual report
42,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report
45,Landscape service activities,81301 (EMTAK 2008),81.3,Annual report
46,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report
49,Bee keeping,01491 (EMTAK 2008),1.49,Annual report
50,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
51,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47111 (EMTAK 2008),47.11,Annual report
52,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report
53,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
54,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Electronic submission
55,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report
56,Other human resources provision,78301 (EMTAK 2008),78.3,Annual report
57,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report
58,Other education n.e.c.,8559 (EMTAK 2008),85.59,Electronic submission
60,Taxi operation,49321 (EMTAK 2008),49.32,Electronic submission
64,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report
67,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission
68,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission
69,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission
