Company ID,Category,Hash
1,Retail,2932210656109287952
1,Dowjones,-3512652547975320346
1,SupermarketChains,-4069439822336842578
2,ECommerce,5458971525214020641
2,Internet,-848597773130649638
2,Tech,5392941245537608590
2,Retail,2932210656109287952
3,Courier,3896409760083245788
3,Transportation,-2725400413481745490
4,Retail,2932210656109287952
4,SupermarketChains,-4069439822336842578
5,Retail,2932210656109287952
5,Dowjones,-3512652547975320346
6,Retail,2932210656109287952
6,SupermarketChains,-4069439822336842578
7,Beverages,-5284870312286199973
8,Investment,-3683647381629899485
9,Healthcare,1473658128705581606
9,Insurance,-2611088800210967206
9,Dowjones,-3512652547975320346
10,Courier,3896409760083245788
10,Transportation,-2725400413481745490
11,ITservices,6845817224175256592
11,Professionalservices,8712968451453521438
12,Retail,2932210656109287952
12,Clothing,-4012403625881737752
13,Beverages,-5284870312286199973
14,Retail,2932210656109287952
14,SupermarketChains,-4069439822336842578
15,Retail,2932210656109287952
16,ITservices,6845817224175256592
16,Professionalservices,8712968451453521438
17,Banks,-3731527361154377479
17,Financialservices,3247786743286756867
17,Dowjones,-3512652547975320346
18,Tech,5392941245537608590
18,Software,6273975210915946900
18,Dowjones,-3512652547975320346
19,Manufacturing,2771886960464485094
19,Electronics,-4280093456798597290
20,Food,4721068128442604370
21,Banks,-3731527361154377479
21,Financialservices,3247786743286756867
22,Banks,-3731527361154377479
22,Financialservices,3247786743286756867
23,Software,6273975210915946900
23,Tech,5392941245537608590
23,Dowjones,-3512652547975320346
23,Videogames,7351854534314693888
24,Healthcare,1473658128705581606
24,Pharmaceuticals,5380718181721596073
24,Drugstore,-6974841525812081849
24,Retail,2932210656109287952
25,Banks,-3731527361154377479
25,Financialservices,3247786743286756867
26,Healthcare,1473658128705581606
27,Telecommunication,-3862064693147789081
28,Dowjones,-3512652547975320346
28,Retail,2932210656109287952
28,Drugstore,-6974841525812081849
28,Pharmaceuticals,5380718181721596073
29,Telecommunication,-3862064693147789081
29,MediaPress,-6159643471181631199
29,Entertainment,6852268802481802111
30,Internet,-848597773130649638
30,Tech,5392941245537608590
30,Software,6273975210915946900
30,Autonomousdriving,-7674529030655768042
31,Automakers,-2133819116979903276
31,Manufacturing,2771886960464485094
32,Restaurantchains,-8690128616648987675
32,Food,4721068128442604370
33,Aerospace,-4642465698626703435
33,Defensecontractors,6178421995435006470
34,Conglomerate,7862095367587665244
35,Tech,5392941245537608590
35,Software,6273975210915946900
35,Dowjones,-3512652547975320346
35,TechHardware,-5791872359498690370
35,Electronics,-4280093456798597290
36,Retail,2932210656109287952
38,Automakers,-2133819116979903276
38,Manufacturing,2771886960464485094
39,Entertainment,6852268802481802111
39,Dowjones,-3512652547975320346
40,Tech,5392941245537608590
40,Software,6273975210915946900
41,Hotels,-4147010109171616253
41,Travel,458727220244788973
42,Aircraftmanufacturers,6860744364479558239
42,Aerospace,-4642465698626703435
42,Dowjones,-3512652547975320346
42,Manufacturing,2771886960464485094
43,Pharmaceuticals,5380718181721596073
43,Dowjones,-3512652547975320346
43,Biotech,-6437318974046106094
44,Food,4721068128442604370
45,Tech,5392941245537608590
45,TechHardware,-5791872359498690370
45,Electronics,-4280093456798597290
46,ITservices,6845817224175256592
46,Professionalservices,8712968451453521438
47,ScientificTechnicalInstruments,-2149647711263352644
47,DiagnosticsandTesting,8004627630865990902
47,Biotech,-6437318974046106094
48,Airlines,-6287371891685245861
48,Travel,458727220244788973
48,Transportation,-2725400413481745490
50,Professionalservices,8712968451453521438
51,Semiconductors,590283686970277566
51,Tech,5392941245537608590
51,Dowjones,-3512652547975320346
51,TechHardware,-5791872359498690370
51,Manufacturing,2771886960464485094
53,Hotels,-4147010109171616253
53,Travel,458727220244788973
54,Telecommunication,-3862064693147789081
54,Dowjones,-3512652547975320346
55,Aerospace,-4642465698626703435
55,Defensecontractors,6178421995435006470
55,Aircraftmanufacturers,6860744364479558239
55,Manufacturing,2771886960464485094
56,Medicaldevices,-2500090628927350323
57,Dowjones,-3512652547975320346
57,Machinerymanufacturing,3479839022665256278
57,Manufacturing,2771886960464485094
58,Dowjones,-3512652547975320346
58,Consumergoods,-4654293209815127527
59,Realestate,5170806780538916196
59,Investment,-3683647381629899485
60,Defensecontractors,6178421995435006470
61,Retail,2932210656109287952
62,Retail,2932210656109287952
62,Clothing,-4012403625881737752
63,Restaurantchains,-8690128616648987675
63,Food,4721068128442604370
64,Restaurantchains,-8690128616648987675
64,Dowjones,-3512652547975320346
64,Food,4721068128442604370
65,Automakers,-2133819116979903276
65,Tech,5392941245537608590
65,ElectricVehicles,7306870937902693610
65,Bitcoin,1757249085431543515
65,Manufacturing,2771886960464485094
65,EVcharging,-3989604651201971859
65,Autonomousdriving,-7674529030655768042
66,Dowjones,-3512652547975320346
66,Aerospace,-4642465698626703435
66,Defensecontractors,6178421995435006470
67,Retail,2932210656109287952
68,Healthcare,1473658128705581606
68,Insurance,-2611088800210967206
70,Clothing,-4012403625881737752
70,Retail,2932210656109287952
71,Insurance,-2611088800210967206
72,Dowjones,-3512652547975320346
72,GlovesPPE,-4733377729652799266
73,Telecommunication,-3862064693147789081
74,OilGas,7683904390150838630
74,Energy,-2882595272621617431
75,Airlines,-6287371891685245861
75,Travel,458727220244788973
75,Transportation,-2725400413481745490
76,ITservices,6845817224175256592
78,Healthcare,1473658128705581606
79,Retail,2932210656109287952
80,Aerospace,-4642465698626703435
80,Defensecontractors,6178421995435006470
81,Tech,5392941245537608590
81,Internet,-848597773130649638
82,Insurance,-2611088800210967206
82,Professionalservices,8712968451453521438
83,Manufacturing,2771886960464485094
83,Engineering,-4107645347768548595
84,Travel,458727220244788973
84,CruiseLines,4428830636166521774
85,Tech,5392941245537608590
85,Electronics,-4280093456798597290
85,Networkinghardware,-4800082983762754847
85,Dowjones,-3512652547975320346
85,Telecommunicationsequipment,-8592063776107010306
85,TechHardware,-5791872359498690370
86,Airlines,-6287371891685245861
86,Travel,458727220244788973
86,Transportation,-2725400413481745490
88,Restaurantchains,-8690128616648987675
88,Food,4721068128442604370
89,Banks,-3731527361154377479
89,Financialservices,3247786743286756867
89,Investment,-3683647381629899485
90,Sportsgoods,-818079648815732376
90,Footwear,-6317385944413730398
90,Dowjones,-3512652547975320346
90,Clothing,-4012403625881737752
91,Food,4721068128442604370
92,Professionalservices,8712968451453521438
92,ITservices,6845817224175256592
92,Tech,5392941245537608590
93,Pharmaceuticals,5380718181721596073
93,Biotech,-6437318974046106094
94,Beverages,-5284870312286199973
94,Dowjones,-3512652547975320346
95,Software,6273975210915946900
95,Dowjones,-3512652547975320346
95,Tech,5392941245537608590
96,Conglomerate,7862095367587665244
97,Medicaldevices,-2500090628927350323
99,Machinerymanufacturing,3479839022665256278
99,Manufacturing,2771886960464485094
100,Pharmaceuticals,5380718181721596073
100,Biotech,-6437318974046106094
101,Telecommunication,-3862064693147789081
102,Restaurantchains,-8690128616648987675
102,Food,4721068128442604370
104,Healthcare,1473658128705581606
104,Insurance,-2611088800210967206
105,Insurance,-2611088800210967206
107,Tires,-8622739485747277500
108,Luxurygoods,232470970942915911
108,Retail,2932210656109287952
109,Professionalservices,8712968451453521438
109,Advertising,-8917243490172367829
110,Toolmanufacturers,879559295262596115
110,Manufacturing,2771886960464485094
111,AutomotiveSuppliers,-5087768184139776565
114,Banks,-3731527361154377479
114,Financialservices,3247786743286756867
115,Tobacco,-2610445584270321844
116,Retail,2932210656109287952
117,HomeKitchenAppliances,-5591954248944563604
117,Manufacturing,2771886960464485094
118,Healthcare,1473658128705581606
119,Genomics,3498623662508482428
119,Biotech,-6437318974046106094
119,Manufacturing,2771886960464485094
120,Pharmaceuticals,5380718181721596073
120,Dowjones,-3512652547975320346
120,Biotech,-6437318974046106094
121,Electronics,-4280093456798597290
122,Financialservices,3247786743286756867
122,Tech,5392941245537608590
123,Dowjones,-3512652547975320346
123,Financialservices,3247786743286756867
