ID,URL,Name,Code,Legal form,Status,Registration Date,Capital,Address,Deletion Date,Tempo richiesta,Tempo estrazione Name,Tempo estrazione Code,Tempo estrazione Legal Form,Tempo estrazione Status,Tempo estrazione Reg. Date,Tempo estrazione Capital,Tempo estrazione Address,Tempo estrazione Del. Date,Tempo estrazione dati Rapp.,Tempo estrazione Partners,Tempo estrazione Activity
1,https://ariregister.rik.ee/eng/company/14318875/10Dspace-OÜ?search_id=16a1817&pos=1,10DspaceOÜ(14318875),14318875,Private limited company,Deleted,25.08.2017,,,29.05.2020,547385700,570200,0,574100,,571700,,,568600,0,508200,571400
2,https://ariregister.rik.ee/eng/company/16270291/21-Sparrows-OÜ?search_id=16a1817&pos=2,21SparrowsOÜ(16270291),16270291,Private limited company,Enteredintotheregister,14.07.2021,Capitalis10 000 €,                        Harju maakond Tallinn Kesklinna linnaosa Toom-Kuninga tn 15-77 10122                            ,,547903600,1002400,0,996800,0,0,999700,0,0,1000600,0,999700
3,https://ariregister.rik.ee/eng/company/12454634/3DST-OÜ?search_id=16a1817&pos=3,3DSTOÜ(12454634),12454634,Private limited company,Enteredintotheregister,15.04.2013,Capitalis2 500 €,                        Harju maakond Tallinn Kesklinna linnaosa Pikk tn 67-3 10133                            ,,285784300,1001300,0,1000300,0,0,998800,0,0,996400,0,1002800
4,https://ariregister.rik.ee/eng/company/14867109/8-Bits-Space-OÜ?search_id=16a1817&pos=4,8BitsSpaceOÜ(14867109),14867109,Private limited company,Enteredintotheregister,11.12.2019,Capitalis2 500 €,                        Harju maakond Tallinn Lasnamäe linnaosa Sepapaja tn 6 15551                            ,,284148800,999700,0,999300,0,0,1001800,0,0,998000,0,1002100
5,https://ariregister.rik.ee/eng/company/16451101/A1-Ehituspartner-OÜ?search_id=16a1817&pos=5,A1EhituspartnerOÜ(16451101),16451101,Private limited company,Enteredintotheregister,28.02.2022,Capitalis2 500 €,                        Põlva maakond Põlva vald Adiste küla Naima 63204                            ,,299219600,994600,0,0,0,997000,1001800,0,1003700,0,999000,0
6,https://ariregister.rik.ee/eng/company/10166769/osaühing-Aarspak?search_id=16a1817&pos=6,osaühingAarspak(10166769),10166769,Private limited company,Enteredintotheregister,28.11.1996,Capitalis2 550 €,                        Harju maakond Viimsi vald Lubja küla Ampri tee 7 74010                            ,,607902300,0,975100,0,0,0,999800,0,1035900,0,0,999100
7,https://ariregister.rik.ee/eng/company/11959421/Aarspak-Tootmine-OÜ?search_id=16a1817&pos=7,AarspakTootmineOÜ(11959421),11959421,Private limited company,Enteredintotheregister,22.06.2010,Capitalis2 556 €,                        Harju maakond Viimsi vald Lubja küla Ampri tee 7 74010                            ,,252536200,958700,0,0,0,0,999700,0,998700,1000100,0,1000100
8,https://ariregister.rik.ee/eng/company/11945353/AA-Spamarket-OÜ?search_id=16a1817&pos=8,A&ASpamarketOÜ(11945353),11945353,Private limited company,Deleted,25.05.2010,,,07.09.2022,231742300,0,997400,0,,0,,,0,1002500,0,1002700
9,https://ariregister.rik.ee/eng/company/16008334/OÜ-ABC-Online-Solution?search_id=16a1817&pos=9,OÜABCOnlineSolution(16008334),16008334,Private limited company,Enteredintotheregister,13.07.2020,Capitalis2 500 €,                        Harju maakond Tallinn Kesklinna linnaosa Raua tn 51-2 10120                            ,,243558800,0,962200,0,1033700,0,0,0,0,1005900,0,958100
10,https://ariregister.rik.ee/eng/company/11739760/OÜ-ABC-Rakennuspalvelut?search_id=16a1817&pos=10,OÜABCRakennuspalvelut(11739760),11739760,Private limited company,Deleted,20.10.2009,,,26.03.2014,213125800,0,1002800,0,,0,,,0,998200,1002600,0
11,https://ariregister.rik.ee/eng/company/16322007/Abovespace-OÜ?search_id=16a1817&pos=11,AbovespaceOÜ(16322007),16322007,Private limited company,Enteredintotheregister,21.09.2021,Capitalis2 500 €,                        Harju maakond Tallinn Kesklinna linnaosa Estonia pst 5 10143                            ,,239184000,0,999500,0,0,1007800,0,997200,1002700,0,996900,0
12,https://ariregister.rik.ee/eng/company/16042743/Abruka-SPA-OÜ?search_id=16a1817&pos=12,AbrukaSPAOÜ(16042743),16042743,Private limited company,Enteredintotheregister,02.09.2020,Capitalis2 500 €,                        Saare maakond Saaremaa vald Abruka küla Pähkla 93826                            ,,297720800,0,998500,0,0,996600,0,985900,1014800,0,1003000,0
13,https://ariregister.rik.ee/eng/company/14166276/A-Building-Group-OÜ?search_id=16a1817&pos=13,ABuildingGroupOÜ(14166276),14166276,Private limited company,Deleted,09.12.2016,,,02.12.2019,195426200,0,999800,0,,0,,,0,1001100,998400,0
